ain	ein
/	/
vnd	und
sprachen	sprachen
.	.
o	oh
aller	aller
liebste	liebste
fraw	frau
.	.
dein	dein
chind	kind
vnser	unser
maister	meister
ist	ist
geuangen	gefangen
vnd	und
wir	wir
wissen	wissen
nicht	nicht
wo	wo
vnd	und
gedacht	gedacht
halt	halt
ob	ob
er	er
fur	vor
daz	das
gericht	gericht
chem	käme
er	er
sich	sich
selben	selbst
vnd	und
daz	das
tet	tat
er	er
nicht	nicht
er	er
stund	stand
als	als
ain	ein
vnschuldigs	unschuldiges
laemp	lamm
vnd	und
tet	tat
nie	nie
auff	auf
seinen	seinen
mund	mund
/	/
do	da
gedacht	gedacht
ich	ich
auch	auch
er	er
ist	ist
als	als
mynikleich	minneclich
daz	dass
si	sie
sich	sich
vber	über
in	ihn
erparment	erbarmend
/	/
darnach	danach
vber	über
ain	ein
chlaine	kleine
weil	weile
do	da
ward	ward
er	er
so	so
gar	gar
ain	ein
aussecziger	aussätziger
mensch	mensch
/	/
do	da
furten	führten
sew	sie
vil	viel
vaster	fester
gezeugen	zeugen
vber	über
in	ihn
vnd	und
sprachen	sprachen
er	er
wer	wäre
ain	ein
storer	störer
der	der
ee	ehre
vnd	und
ein	ein
verreter	verräter
des	des
volks	volkes
/	/
do	da
stuenden	standen
gezeugen	zeugen
auff	auf
vnd	und
sprachen	sprachen
/	/
er	er
hiet	hätte
gesprochen	gesprochen
er	er
wolt	wollt
den	den
tempel	tempel
czerfuren	zerfahren
vnd	und
ien	in
drin	drei
tagen	tagen
widerpringen	wiederbringen
/	/
do	da
sprach	sprach
chaiphas	kaiphas
sag	sag
an	an
pist	bist
u	du
christus	christus
ih-us	jesus
.	.
do	da
sprach	sprach
mein	mein
chind	kind
.	.
sag	sage
ich	ich
euch	euch
s	es
so	so
gelaubt	glaubt
ir	ihr
mir	mir
sein	sein
nicht	nicht
.	.
aber	aber
ich	ich
sag	sage
euch	euch
ir	ihr
wert	werdet
den	den
himel	himmel
offen	offen
sechen	sehen
sten	stehen
.	.
vnd	und
des	des
menschen	menschen
chind	kind
siczen	sitzen
czu	zu
der	der
rechten	rechten
hant	hand
gotes	gottes
.	.
do	da
spielten	spielten
im	ihm
der	der
iuden	juden
priester	priester
sein	sein
gewant	gewand
vnd	und
sprachen	sprachen
/	/
wir	wir
pedurffen	bedürfen
nicht	nicht
mer	mehr
gezeugen	zeugen
nu	nun
hort	hört
ir	ihr
doch	doch
woll	wohl
er	er
hat	hat
wider	wider
got	gott
gerett	geredet
.	.
schrieren	schrien
sy	sie
alle	alle
.	.
er	er
ist	ist
schuldig	schuldig
des	des
todes	todes
.	.
do	da
durchstaech	durchstach
czu	zu
dem	dem
andern	anderen
mall	mal
ein	ein
swert	schwert
mein	mein
hercz	herz
/	/
do	da
sprach	sprach
anshelmus	anselm
.	.
wo	wo
ward	ward
er	er
hingefurt	hingeführt
do	da
sprach	sprach
maria	maria
.	.
czu	zu
dem	dem
richter	richter
pilato	pilatus
.	.
do	da
sprach	sprach
anshelmus	anselm
.	.
o	oh
aller	aller
liebstew	liebste
fraw	frau
heczt	hattest
du	du
chainen	keinen
mer	mehr
.	.
do	da
sprach	sprach
maria	maria
ia	ja
ich	ich
het	hat
grossen	grossen
wenne	wann
daz	das
volk	volk
czusamen	zusammen
chem	käme
/	/
den	den
er	er
offt	oft
so	so
gepredigt	gepredigt
het	hat
vnd	und
die	die
die	die
er	er
gesunt	gesund
het	hat
gemacht	gemacht
vnd	und
die	die
er	er
in	in
der	der
wust	wüste
gespeist	gespeist
het	hat
do	da
ab	ab
sew	sie
in	ihn
loesten	lösten
von	von
den	den
iuden	juden
des	des
teten	taten
sew	sie
nicht	nicht
sy	sie
ruefften	ruften
mit	mit
lauter	lauter
stime	stimme
czu	zu
pilato	pilatus
man	man
schol	soll
im	ihm
chrewczen	kreuzen
vnd	und
sprachen	sprachen
er	er
hat	hat
gesprochen	gesprochen
er	er
sey	sei
gotes	gottes
sun	sohn
vnd	und
hat	hat
verpoten	verboten
den	den
czins	zins
cze	zu
geben	geben
vnd	und
do	da
fragt	fragt
in	ihn
pilatus	pilatus
von	von
seinem	seinem
reich	reich
/	/
do	da
antwurt	antwortet
er	er
im	ihm
vnd	und
sprach	sprach
/	/
mein	mein
reich	reich
ist	ist
nicht	nicht
von	von
diser	dieser
welt	welt
wan	wann
wer	wäre
mein	mein
reich	reich
von	von
diser	dieser
welt	welt
so	so
striten	stritten
mein	meine
diener	diener
fur	für
mich	mich
do	da
sprach	sprach
pilatus	pilatus
/	/
so	so
pist	bist
u	du
s	es
ain	ein
chunig	könig
.	.
do	da
sprach	sprach
ih-us	jesus
.	.
du	du
hast	hast
es	es
gesprochen	gesprochen
.	.
wann	wann
ich	ich
pin	bin
ain	ein
chunig	könig
vnd	und
pin	bin
darzue	dazu
in	in
dise	diese
welt	welt
chomen	kommen
daz	dass
ich	ich
gezeug	zeuge
sey	sei
der	der
worhait	wahrheit
/	/
do	da
sprach	sprach
pilatus	pilatus
/	/
waz	was
ist	ist
di	die
worhait	wahrheit
/	/
vnd	und
dise	diese
frag	frage
wolt	wollt
er	er
im	ihm
nicht	nicht
wan	wann
hiet	hätte
er	er
im	ihm
sey	sie
er	er
hiet	hätte
in	ihn
nicht	nicht
getottet	getötet
/	/
vnd	und
wer	wäre
alles	alles
menschleichs	menschliches
geslecht	geschlecht
nicht	nicht
erlost	erlöst
worden	worden
do	da
iudas	judas
erhort	erhört
daz	dass
man	man
in	ihn
totten	töten
wolt	wollt
do	da
gie	ging
er	er
czu	zu
den	den
iuden	juden
vnd	und
sprach	sprach
ich	ich
han	habe
gesundet	gesündigt
vnd	und
han	habe
verchaufft	verkauft
daz	das
recht	recht
pluet	blut
.	.
vnd	und
gieng	ging
vnd	und
hieng	hing
sich	sich
.	.
do	da
sprach	sprach
pilatus	pilatus
czu	zu
dem	dem
fursten	fürsten
vnd	und
czu	zu
dem	dem
volk	volk
.	.
ich	ich
vind	finde
chein	kein
schuld	schuld
an	an
dem	dem
menschen	menschen
.	.
do	da
sprachen	sprachen
sy	sie
all	alle
mit	mit
ganczem	ganzem
ernst	ernst
/	/
er	er
hat	hat
daz	das
volkch	volk
von	von
galilea	galilea
pechert	bekehrt
/	/
vnd	und
do	da
pilatus	pilatus
hoert	hört
daz	dass
er	er
von	von
galilea	galilea
waes	war
/	/
do	da
sant	sandte
er	er
in	ihn
czu	zu
herodes	herodes
.	.
vnd	und
do	da
herodes	herodes
ih-m	jesus
ersach	ersah
do	da
wart	ward
er	er
gar	gar
fro	froh
.	.
vnd	und
fragt	fragt
in	ihn
vil	viel
dingen	ding
vnd	und
ob	ob
er	er
der	der
wer	wäre
der	der
die	die
plinten	blinden
gesechen	gesehen
macht	macht
der	der
lazarun	lazarus
hiet	hätte
haissen	heissen
auffsten	aufstehen
/	/
vnd	und
erchukcht	erquickt
hiet	hätte
der	der
witiben	witwen
sun	sohn
/	/
vnd	und
im	ihm
/	/
tet	täte
er	er
ain	ein
czaichen	zeichen
vor	vor
im	ihm
er	er
wolt	wollt
in	ihn
losen	lösen
von	von
den	den
iuden	juden
aber	aber
mein	mein
chint	kind
sprach	sprach
nichtz	nichts
/	/
do	da
saczten	setzten
se	sie
im	ihm
auff	auf
ain	ein
chron	krone
domit	damit
must	müsst
er	er
gechront	gekrönt
werden	werden
vber	über
alle	alle
fursten	fürsten
/	/
vnd	und
im	ihm
/	/
tet	täte
er	er
ain	ein
czaichen	zeichen
vor	vor
im	ihm
er	er
wolt	wollt
im	ihm
ain	ein
tail	teil
an	an
seines	seines
reich	reich
geben	geben
/	/
aber	aber
mein	mein
chint	kind
sprach	sprach
nichtz	nichts
/	/
do	da
versmechet	verschmäht
in	ihn
herodes	herodes
vnd	und
legt	legt
im	ihm
an	an
ain	ein
weis	weiss
gewant	gewand
/	/
vnd	und
furt	führt
in	ihn
wider	wieder
czu	zu
pilatum	pilatus
.	.
do	da
warten	wurden
se	sie
mit	mit
ainander	einander
pilatus	pilatus
vnd	und
herodes	herodes
.	.
do	da
wolt	wollt
pilatus	pilatus
mein	mein
chind	kind
haben	haben
lassen	lassen
.	.
vnd	und
warrabam	barrabas
haben	haben
getottet	getötet
.	.
do	da
sprach	sprach
daz	das
volkch	volk
allessampt	allesamt
.	.
hebt	hebt
ih-m	jesus
auff	auf
vnd	und
tott	tötet
in	ihn
vnd	und
latt	lasst
barrabam	barrabas
pues	büssen
/	/
do	da
sprach	sprach
pilatus	pilatus
czu	zu
dem	dem
dritten	dritten
mall	mal
/	/
waz	was
hat	hat
er	er
vbels	übles
getan	getan
ich	ich
vind	finde
chain	kein
schulde	schuld
des	des
todes	todes
am	am
im	ihm
/	/
ich	ich
will	will
in	ihn
haissen	heissen
slachen	schlagen
vnd	und
will	will
in	ihn
leben	leben
lassen	lassen
do	da
schrieren	schrien
die	die
iuden	juden
chrewczt	kreuzt
in	ihn
.	.
do	da
sant	sandte
pilatus	pilatus
hawsfrawn	hausfrauen
czu	zu
im	ihm
daz	dass
er	er
dem	dem
gerechten	gerechten
nicht	nicht
toet	töte
/	/
sy	sie
hiet	hätte
die	die
nacht	nacht
vil	viel
geliten	gelitten
von	von
im	ihm
/	/
do	da
wolt	wollt
pilatus	pilatus
erfult	erfüllt
haben	haben
der	der
iuden	juden
vnd	und
hies	hiess
in	ihn
pinten	binden
czu	zu
ainer	einer
sailen	säulen
vnd	und
hies	hiess
slachen	schlagen
seinen	seinen
leib	leib
daz	dass
daran	daran
nichcz	nichts
gesuncz	gesundes
pelaib	bleibe
vnd	und
die	die
saul	säule
waz	war
also	also
dikch	dick
daz	dass
im	ihm
wol	wohl
spane	spanne
daz	dass
er	er
nicht	nicht
geraeichen	gereichen
mocht	mochte
/	/
do	da
namen	nahmen
sew	sie
riemen	riemen
vnd	und
czugen	zogen
im	ihm
die	die
hent	hände
domit	damit
do	da
namen	nahmen
in	ihn
die	die
ritter	ritter
vnd	und
flochten	flochten
im	ihm
ain	ein
chron	krone
von	von
dorn	dorn
vnd	und
drukchten	drückten
im	ihm
dy	die
in	in
sein	sein
haup	haupt
doch	doch
waz	war
die	die
selb	selbe
chroen	krone
nicht	nicht
von	von
rechten	rechten
dorn	dorn
sy	sie
waz	war
von	von
merspinnen	meerspinnen
die	die
sind	sind
vil	viel
grewleicher	gräulicher
vnd	und
spicziger	spitzer
den	denn
ander	andere
dorn	dorn
die	die
selben	selben
chron	krone
die	die
drukten	drückten
se	sie
im	ihm
in	in
sein	sein
haup	haupt
mit	mit
ainem	einem
sper	speer
daz	dass
im	ihm
daz	das
plut	blut
vber	über
sein	sein
antlucz	antlitz
floz	floss
vnd	und
also	also
gechrontn	gekrönt
furten	führten
se	sie
in	in
ainen	einen
roten	roten
mantel	mantel
fur	vor
die	die
iuden	juden
vnd	und
sprachen	sprachen
nu	nun
secht	seht
daz	das
ist	ist
der	der
mensch	mensch
/	/
do	da
in	ihn
der	der
iuden	juden
pischolff	bischoff
sach	sah
do	da
schriren	schrien
sy	sie
all	alle
chrewczt	kreuzt
in	ihn
/	/
do	da
sprach	sprach
pylatus	pilatus
.	.
nempt	nehmt
in	ihn
selben	selben
vnd	und
tuet	tut
im	ihm
nach	nach
ewr	eurer
vnd	und
richtet	richtet
vber	über
in	ihn
/	/
do	da
antwurten	antworten
se	sie
in	ihn
wir	wir
haben	haben
in	in
vnser	unser
.ee.	ehre
daz	dass
er	er
sterben	sterben
scholl	soll
.	.
wann	wann
er	er
hat	hat
sich	sich
gotes	gottes
sun	sohn
gehaissen	geheissen
/	/
do	da
pilatus	pilatus
die	die
red	rede
erhortt	erhört
.	.
do	da
voricht	fürchtet
er	er
die	die
iuden	juden
vnd	und
gie	ging
wider	wieder
zu	zu
ih-m	jesus
in	in
daz	das
vnd	und
sprach	sprach
czu	zu
nicht	nicht
er	er
sprach	sprach
wild	willst
u	du
mir	mir
nicht	nicht
antwurten	antworten
/	/
waist	weisst
u	du
nicht	nicht
daz	dass
ich	ich
gewalt	gewalt
han	habe
dich	dich
czu	zu
lassen	lassen
vnd	und
auch	auch
czu	zu
totten	töten
/	/
do	da
sprach	sprach
ih-us	jesus
/	/
du	du
hiest	hast
chainen	keinen
gewalt	gewalt
vber	über
mich	mich
wer	wäre
er	er
dier	dir
nicht	nicht
von	von
mich	mich
geben	gegeben
/	/
darwmb	darum
der	der
mich	mich
verchaufft	verkauft
hat	hat
der	der
hat	hat
groz	gross
sunt	sünde
getan	getan
/	/
darnach	danach
aber	aber
pilatus	pilatus
daz	dass
man	man
ih-m	jesus
liez	liess
/	/
do	da
schrieren	schrien
die	die
iuden	juden
all	all
vnd	und
sprachen	sprachen
/	/
lest	lässt
du	du
in	ihn
so	so
pist	bist
u	du
nicht	nicht
des	des
chaisers	kaisers
freunt	freund
/	/
wan	wann
wer	wer
sich	sich
haist	heisst
ainen	einen
chunig	könig
der	der
will	will
wider	wider
den	den
chaiser	kaiser
sein	sein
/	/
do	da
pilatus	pilatus
daz	das
erhort	erhört
daz	dass
anders	anderes
nicht	nicht
macht	mochte
gesein	sein
do	da
er	er
sein	sein
hent	hände
vor	vor
dem	dem
volk	volk
vnd	und
sprach	sprach
/	/
ich	ich
wil	will
vnschuldig	unschuldig
sein	sein
an	an
des	des
mensch	menschen
plut	blut
/	/
nu	nun
secht	seht
wie	wie
ewch	euch
geschech	geschehe
do	da
schriren	schrien
sy	sie
all	all
/	/
sein	sein
plut	blut
ge	gehe
vber	über
vns	uns
vnd	und
vber	über
vnsze	unser
chind	kind
/	/
vnd	und
schriren	schrien
so	so
lang	lang
vnd	und
so	so
vill	viel
daz	dass
pilatus	pilatus
die	die
vrtail	urteil
gab	gab
vber	über
in	ihn
vnd	und
liez	liess
in	ihn
barrabam	barrabas
den	den
/	/
aber	aber
mein	mein
chint	kind
daz	das
gab	gab
er	er
in	ihn
daz	dass
sy	sie
iren	ihren
willen	willen
volprachen	vollbrachten
an	an
im	ihm
/	/
do	da
sprach	sprach
anshelmus	anselm
/	/
waz	was
tet	tat
du	du
do	da
du	du
daz	das
erhorczt	erhörtest
.	.
do	da
sprach	sprach
maria	maria
.	.
do	da
durchstach	durchstach
aber	aber
ein	ein
swert	schwert
mein	mein
hercz	herz
.	.
do	da
sprach	sprach
anshelmus	anselm
.	.
waz	was
geschach	geschah
darnach	danach
.	.
do	da
sprach	sprach
maria	maria
.	.
do	da
namen	nahmen
se	sie
mein	mein
ausderweltes	auserwähltes
liebs	liebes
chint	kind
.	.
vnd	und
legten	legten
im	ihm
daz	das
chrewcz	kreuz
auff	auf
seinen	seinen
rukch	rücken
vnd	und
furten	führten
in	ihn
aws	aus
der	der
stat	stadt
.	.
do	da
man	man
dy	die
vbelen	üblen
lewt	leute
verdampt	verdammt
.	.
vnd	und
do	da
chrauczsten	kreuzten
se	sie
in	ihn
vnd	und
daz	das
chrewcz	kreuz
waz	war
also	so
groz	gross
daz	dass
es	es
het	hat
funczechen	fünfzehn
schuch	schuh
an	an
der	der
leng	länge
/	/
do	da
waz	war
mein	mein
chint	kind
die	die
nacht	nacht
so	so
chrankch	krank
warn	waren
daz	dass
er	er
daz	das
chrewcz	kreuz
nicht	nicht
getragen	getragen
/	/
macht	mochte
/	/
do	da
gewunen	gewannen
sy	sie
ainen	einen
armen	armen
man	mann
der	der
es	es
fur	für
in	ihn
trug	trug
daz	das
teten	taten
se	sie
nicht	nicht
durch	durch
sunder	sondern
daz	dass
er	er
sein	sein
nicht	nicht
getragen	getragen
macht	mochte
.	.
do	da
sprach	sprach
anshelmus	anselm
.	.
gie	ging
nyempt	niemand
mit	mit
im	ihm
do	da
man	man
in	ihn
awsfurt	ausführt
.	.
do	da
sprach	sprach
maria	maria
.	.
ia	ja
vil	viel
volkes	volkes
cham	kam
.	.
mit	mit
ainem	einem
diep	dieb
.	.
vnd	und
frawn	frauen
wainud	weinend
und	und
chlagund	klagend
vnd	und
vil	viel
chind	kind
vnd	und
er	er
sprach	sprach
czu	zu
den	den
frawn	frauen
/	/
ir	ihr
totter	töchter
von	von
ih-rlm	jerusalem
waint	weint
nicht	nicht
vber	über
mich	mich
waint	weint
vber	über
euch	euch
vnd	und
vber	über
ewre	eure
chind	kind
die	die
